dataset,n_runs,dummy_test_acc_mean,baseline_test_acc_mean,l2_test_acc_mean,baseline_test_f1_mean,l2_test_f1_mean,baseline_gap_mean,l2_gap_mean,best_C_median
sklearn_breast_cancer,3,0.5581395348837209,0.9457364341085271,0.9767441860465116,0.9458366374297472,0.9765725318329418,0.027450980392156838,-0.010582323381613948,0.1
sklearn_wine,3,0.32098765432098764,0.9629629629629629,1.0,0.9628453850676073,1.0,0.04938271604938275,0.019315013938669856,0.01
uci_connectionist_bench_sonar,3,0.4479166666666667,0.8020833333333334,0.78125,0.8020731508634734,0.7802802694880494,0.3010752688172043,0.048572487949573584,0.1
uci_glass_identification,3,0.2727272727272727,0.6060606060606061,0.5959595959595959,0.5995903701042041,0.5860525611118498,0.14079977628635346,0.045511744966442946,100.0
